Incident_ID,Source,Call_ID,Transcript,Extracted_Event,Location,Timestamp,Sentiment,Urgency_Score,Severity
INC_001,audio,C001,"– In Feb. 2006 5 year-old Robert Turner called to say his mother was unconscious. However, dispatcher Sharon Nicols believed it was a prank call. Nicols and another dispatcher were later fired, and Nicols was charged with criminal neglect of duty. She was later convicted, but granted probation. Also isten to the second",Building fire / trapped persons,Michigan,2/06,Distressed,0.94,High
INC_002,audio,C002,"– the 911 call of a lifetime. Volusia County (Fla.) dispatcher Donna Choufani talks to 5 year-old Tia Hernlen, who calmly reports her two parents shot to death. Also check this",Murder / homicide,"Florida, Volusia County, Fla.",3/05,Calm,0.44,High
INC_003,audio,C003,"– caller reports her daughter is creating a disturbance at home, and the dispatcher makes an inappropriate comment",Shooting,Texas,4/05,Distressed,0.4,Low
INC_004,audio,C004,– a couple under the influence of drugs dialed 911 after their truck ran into a snowdrift outside Omaha (Neb.) in Jan. 2005. Janelle Hornickel and Michael Wamsley were disoriented and couldn’t give their location. Their bodies were found days later in the snow.,Unknown incident,"Nebraska, Omaha, Neb.",1/05,Distressed,0.7,Medium
INC_005,audio,C005,– Lorna Jeanne Dudash in Aloha (Ore.) dialed 911 to ask for the name of a “cute” Washington County sheriff’s deputy she had just encountered. The deputy returned to her house and arrested her.,Unknown incident,"Oregon, Aloha, Ore., Washington County",1/06,Distressed,0.24,Low
INC_006,audio,C006,"– In June 1996 two children were stabbed to death in their home in Rowlett (Tex.), and their mother Darlie Routier was later arrested for their murder. A jury later did not believe that an intruder killed the children and seriously injured Routier, and she was convicted. The case is now on appeal.",Murder / homicide,"Texas, Tex.",6/96,Calm,0.54,High
INC_007,audio,C007,"JonBenét Patricia Ramsey (August 6, 1990 – December 25 or 26, 1996)[1] was an American child beauty queen who was killed at the age of six in her family's home in Boulder, Colorado.",Murder / homicide,"Boulder, Colorado",12/96,Distressed,0.69,Medium
INC_008,audio,C008,– In Jan. 2007 a Vancouver (Wash.) man called to confess killing two persons with a knife. Dylon R. Peterson was arrested by arriving police.,Murder / homicide,"Washington, Vancouver, Wash.",1/07,Distressed,0.69,High
INC_009,audio,C009,"– In May, 2006 a Clemson college student was found strangeled to death in her apartment, and a student calls to report finding her body.",Murder / homicide,South Carolina,5/06,Distressed,0.7,High
INC_010,audio,C010,"– In Jan. 2007 five residents in Abingdon (Md.) died in a house fire, reported by several 911 calls. There was some criticism that the Harford County comm center took several minutes to dispatch fire units, but officials said an uncertain address only delayed units by seconds.",Building fire / trapped persons,"Maryland, Abingdon, Md., Harford County",1/07,Distressed,0.82,High
INC_011,audio,C011,"– In Feb. 2007 a San Antonio (Tex.) family noticed their infant was not breathing and dialed 911. The call was promptly answered at the police department, but the dispatcher then transferred the call to the EMS comm center, where a recording played for 4 minutes.",Medical emergency,"Texas, San Antonio, Tex.",2/07,Distressed,0.5,Medium
INC_012,audio,C012,"– In Feb. 2007 several teens stopped on a rural road and were rear-ended by another car, seriously injuring several of the teens. They dialed 911 for help and reached the Loveland Police Department, but there was confusion about their location. They had difficulty trying to describe their location. Read more",Road accident,Colorado,1/07,Distressed,0.62,Medium
INC_013,audio,C013,"– On February 3, 2007 firefighters rescued 5 children from a house fire at 9819 Connecticut Avenue, in Kensington (Montgomery County, Md.). Two 17 month-old girls (twins) were hospitalized in critical condition. A 12 year-old girl, 7 year-old boy, a 3 year-old girl and the twins were rescued from the second floor. The twins were found unconscious. The fire started on the first floor and the smoke alarm did activate. The oldest child, age 12 called 911 and was very composed as the Montgomery County Fire and Rescue Service (MCFRS) dispatcher provided instructions.",Building fire / trapped persons,"Maryland, Connecticut Avenue, Kensington, Montgomery County, Md.",2/07,Distressed,0.94,High
INC_014,audio,C014,"– In March 2007 Monica Hudson dialed 911 when she became trapped inside an automated car wash building on 24th St. in Port Huron (Mich.) when the machinery stalled. The dispatcher talked to her for several minutes. Finally another patron came through, pushed some buttons and the doors came open.",Road accident,"Michigan, 24th St., Port Huron, Mich.",3/07,Distressed,0.52,High
INC_015,audio,C015,"“I need a nanny,” the woman says. “Yeah, this is a nanny 911.”
The woman goes on to request a baby sitter, help with her kids and someone to keep her company.
In disbelief, the dispatcher informs the caller that isn’t what 911 is for.",Unknown incident,Wisconsin,5/07,Distressed,0.52,Medium
INC_016,audio,C016,"– off-duty officer calls to report he and his wife might have ingested marijuana brownies, and he sounds toasted",Domestic disturbance,Michigan,5/07,Calm,0.0,Low
INC_017,audio,C017,"– The Spanish-speaking parents of a 4 year-old girl who fell into a pool dialed 911 in Columbus (Ohio), but had trouble explaining what had happened and where they were. It took 2 minutes to conference in an interpreter.",Unknown incident,"Columbus, Ohio",5/07,Distressed,0.7,Medium
INC_018,audio,C018,"– In May 2007 a gunman opened fire on the Latah County (Idaho) Courthouse at night, where several dispatchers were working. Residents dialed 911 to report it to the dispatchers who were themselves under fire. A Moscow city police officer was killed by the gunfire and a deputy was wounded. The suspect Paul Bauer killed himself in a nearby church. Read more",Shooting,"Idaho, the Latah County, Moscow",5/07,Distressed,0.93,High
INC_019,audio,C019,"– In Oct. 1993 actor River Phoenix collapsed outside a Hollywood (Calif.) nightclub, prompting a 911 call for help. He was taken to a hospital where he was pronounced dead, later determined to be a drug overdose.",Murder / homicide,"California, Hollywood, Calif.",10/93,Distressed,0.94,High
INC_020,audio,C020,"– In June 2007 caller in Paw Paw (Mich.) reported that a man in a wheelchair, Ben Carpenter, had been struck by an 18-wheel truck while crossing the street, and was was now stuck to the front of the truck and being dragged down the street. Read more",Road accident,"Michigan, Paw Paw, Mich.",6/07,Distressed,0.5,Medium
INC_021,audio,C021,"– In June 2007 a woman allegedly on drugs drove through a Anacostia district Washington (DC) weekend street festival, injuring dozens of pedestrians. Callers dialed 911 when Tonya Bell drove through a barricade and into the crowded street at up to 70 mph. Police finally stopped her cara by throwing two motorscooters under her car.",Road accident,"DC, Anacostia, Washington",6/07,Distressed,0.5,Medium
INC_022,audio,C022,"– caller from a hospital emergency room dials 911 to report a medical problem, later dies",Medical emergency,California,5/07,Distressed,0.82,High
INC_023,audio,C023,"– In June 2007 23 year-old Amborsio Analco shot and killed six persons–including his own small children–inside a Delavan (Wisc.) duplex, and then killed himself.",Murder / homicide,"Wisconsin, duplex",6/07,Distressed,0.94,High
INC_024,audio,C024,"– In June 2007 a neighbor came to Barry James’ house in Fairfield (Conn.) and stabbed him to death, apparently in retaliation. James’ father dialed 911 to report the incident, along with several neighbors. Read more",Assault / violence,"Connecticut, Fairfield, Conn.",6/07,Distressed,0.7,High
INC_025,audio,C025,"– In August 2006 a woman dialed 911 when she heard screaming on the other end of the phone while talking to her boss, Paul Duncsak, and then the line went dead. Police arrived at Duncsak’s Ramsey (NJ) home to find him dead of a gunshot wound to the head. Read more",Murder / homicide,New Jersey,8/06,Distressed,1.0,High
INC_026,audio,C026,"– In May 2007 a Tamarac (Fla.) woman dialed 911 to say her ex-boyfriend was pounding on the door. Before Broward County deputies arrived, the ex-boyfriend, Mario Cruz, threw a barbeque through a patio door, came inside and stabbed Maria Borrero and her then-boyfriend. As a deputy arrived, Cruz approached the deputy with a knife, and was shot and killed.",Assault / violence,"Florida, Fla., Broward County",5/07,Distressed,0.82,High
INC_027,audio,C027,– A collection of non-emergency calls made to 911.,Unknown incident,,,Distressed,0.32,Low
INC_028,audio,C028,– A collection of non-emergency calls made to 911.,Unknown incident,,,Distressed,0.32,Low
INC_029,audio,C029,– A collection of non-emergency calls made to 911.,Unknown incident,,,Distressed,0.32,Low
INC_030,audio,C030,– A collection of non-emergency calls made to 911.,Unknown incident,,,Distressed,0.32,Low
INC_031,audio,C031,– A collection of non-emergency calls made to 911.,Unknown incident,,,Distressed,0.32,Low
INC_032,audio,C032,– A collection of non-emergency calls made to 911.,Unknown incident,,,Distressed,0.32,Low
INC_033,audio,C033,"– In July 2007 a Palm Beach Gardens (Fla.) father dialed 911 to report that an 18 year-old girl was dead in his son’s room from an overdose. Amanda Buckley was later found to have been strangled and bound with duct tape, and the caller’s 26 year-old son Jason Shenfeld was arrested for murder.",Murder / homicide,"Florida, Palm Beach Gardens, Fla.",7/07,Distressed,0.94,High
INC_034,audio,C034,"– In July, 2007 Madison (Wisc.) resident Ronald Brandon called to report an armed man outside his house, but described",Shooting,Wisconsin,7/07,Distressed,0.39,Low
INC_035,audio,C035,"– In July 2007 11 year-old Rayshaun Wagner called 911 from a closet at his Jacksonville (Fla.) home to report that someone was breaking into his home. Wagner set off the home’s burglar alarm manually, then grabbed his 5 year-old brother and hid in a closet as he talked to sheriff’s dispatcher Sydney McClurkin. The call captures the police arriving. Read more",Unknown incident,"Florida, Jacksonville, Fla.",7/07,Calm,0.23,Low
